permit_number,issue_date,estimated_completion,city,state,county,fips_code,latitude,longitude,permit_type,zoning_classification,square_footage,project_valuation,status,contractor_licensed,environmental_review,flood_zone,nearest_epa_station,data_source,public_record
BP-2025232,2025-11-04,2026-11-07,Broken Arrow,OK,Tulsa,40143,36.159467,-96.791798,Industrial Build-Out,C-2 General Commercial,55637,8579380.11,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025233,2025-12-22,2026-10-31,Norman,OK,Cleveland,40027,36.372221,-95.960032,New Commercial Construction,I-1 Light Industrial,34097,8252448.77,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025234,2026-03-28,2027-09-02,Wichita,KS,Sedgwick,20173,36.71819,-97.320948,Mixed-Use Development,I-1 Light Industrial,60376,11163510.31,Issued,Yes,Pending,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025235,2026-03-08,2026-08-19,Wichita,KS,Sedgwick,20173,37.422068,-97.778283,Data Center,I-1 Light Industrial,50507,13701654.47,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025236,2025-01-16,2026-05-08,Wichita,KS,Sedgwick,20173,37.280111,-97.62702,Medical Facility,M-1 Medical District,52258,8757441.36,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025237,2025-12-02,2026-12-06,Broken Arrow,OK,Tulsa,40143,35.588324,-95.814877,Office Park,M-1 Medical District,83956,16845379.94,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025238,2025-11-10,2026-03-30,Tulsa,OK,Tulsa,40143,37.075218,-97.243159,Food Processing Facility,I-2 Heavy Industrial,6838,1065739.74,Issued,Pending,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025239,2025-09-04,2026-09-27,Tulsa,OK,Tulsa,40143,36.74998,-95.895721,Mixed-Use Development,C-1 Neighborhood Commercial,11213,2440054.11,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025240,2025-10-06,2026-10-31,Broken Arrow,OK,Tulsa,40143,36.079353,-96.753392,Mixed-Use Development,C-1 Neighborhood Commercial,45889,4705566.44,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025241,2026-01-04,2026-12-14,Tulsa,OK,Tulsa,40143,35.773956,-96.709537,Commercial Renovation,I-1 Light Industrial,39705,4964347.08,Issued,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025242,2025-02-04,2025-10-01,Broken Arrow,OK,Tulsa,40143,36.452867,-96.139778,New Commercial Construction,PUD Planned Unit Development,57414,12426293.02,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025243,2025-08-15,2025-09-21,Norman,OK,Cleveland,40027,35.527303,-96.22683,Office Park,C-1 Neighborhood Commercial,3753,1046897.96,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025244,2025-12-04,2026-11-29,Tulsa,OK,Tulsa,40143,35.848907,-97.420177,Warehouse/Distribution,M-1 Medical District,21734,6785369.22,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025245,2025-10-15,2027-01-08,Tulsa,OK,Tulsa,40143,36.147903,-97.642036,Food Processing Facility,PUD Planned Unit Development,27675,3919047.83,Completed,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025246,2025-05-19,2026-05-25,Broken Arrow,OK,Tulsa,40143,35.962166,-96.681382,Food Processing Facility,PUD Planned Unit Development,9209,1033025.64,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025247,2025-08-21,2026-01-03,Norman,OK,Cleveland,40027,37.014132,-96.031525,Data Center,I-2 Heavy Industrial,51480,6075630.65,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025248,2026-03-01,2026-08-19,Norman,OK,Cleveland,40027,35.407434,-96.155391,Industrial Build-Out,I-2 Heavy Industrial,80396,19976801.15,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025249,2026-05-16,2027-05-05,Norman,OK,Cleveland,40027,36.134221,-97.646076,Industrial Build-Out,C-2 General Commercial,22929,5552730.76,Under Review,Yes,Pending,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025250,2026-02-03,2027-02-04,Oklahoma City,OK,Oklahoma,40109,35.72063,-96.715382,Office Park,I-2 Heavy Industrial,48266,4819707.63,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025251,2025-11-12,2026-12-28,Wichita,KS,Sedgwick,20173,36.779799,-96.523759,Medical Facility,I-1 Light Industrial,16612,2946428.6,Issued,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025252,2025-02-01,2026-01-04,Wichita,KS,Sedgwick,20173,35.965985,-97.753932,Industrial Build-Out,C-1 Neighborhood Commercial,71686,20498668.68,Issued,Yes,Pending,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025253,2025-12-18,2026-03-09,Norman,OK,Cleveland,40027,35.630146,-97.509528,Medical Facility,I-1 Light Industrial,53909,10729308.0,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025254,2025-03-09,2026-06-04,Broken Arrow,OK,Tulsa,40143,35.798142,-96.178172,Retail Complex,M-1 Medical District,84069,24553115.89,Under Review,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025255,2025-11-21,2027-04-09,Norman,OK,Cleveland,40027,36.707382,-97.772315,Medical Facility,I-1 Light Industrial,62063,7038215.69,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025256,2025-02-16,2026-03-03,Norman,OK,Cleveland,40027,37.158154,-96.856482,Food Processing Facility,C-1 Neighborhood Commercial,12604,1083781.25,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025257,2026-05-16,2026-11-11,Tulsa,OK,Tulsa,40143,35.904141,-97.451012,Commercial Renovation,PUD Planned Unit Development,72204,14633039.82,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025258,2025-12-01,2026-10-08,Broken Arrow,OK,Tulsa,40143,35.862272,-95.849179,Commercial Renovation,I-2 Heavy Industrial,50786,9567820.42,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025259,2025-07-04,2025-11-10,Tulsa,OK,Tulsa,40143,36.121276,-96.032325,Commercial Renovation,I-1 Light Industrial,32259,2936566.98,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025260,2025-02-05,2026-06-28,Broken Arrow,OK,Tulsa,40143,37.16459,-96.705248,Medical Facility,C-2 General Commercial,74215,19849783.41,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025261,2025-02-24,2025-10-31,Tulsa,OK,Tulsa,40143,35.434345,-96.496663,Medical Facility,C-2 General Commercial,17298,2824781.58,Issued,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025262,2025-07-16,2026-01-12,Broken Arrow,OK,Tulsa,40143,37.743711,-96.251906,Data Center,C-1 Neighborhood Commercial,5055,733177.38,Completed,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025263,2025-07-03,2026-06-01,Broken Arrow,OK,Tulsa,40143,36.27941,-97.314549,New Commercial Construction,I-2 Heavy Industrial,84047,10688573.95,Completed,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025264,2025-04-01,2026-08-10,Broken Arrow,OK,Tulsa,40143,37.384861,-96.575306,New Commercial Construction,I-1 Light Industrial,27892,3696435.32,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025265,2025-07-03,2026-01-04,Tulsa,OK,Tulsa,40143,36.928703,-97.231926,Medical Facility,C-2 General Commercial,52487,9539899.05,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025266,2025-02-14,2025-12-30,Wichita,KS,Sedgwick,20173,37.260818,-95.968306,Food Processing Facility,I-1 Light Industrial,22684,6350382.08,Under Review,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025267,2026-02-05,2026-07-31,Norman,OK,Cleveland,40027,36.491243,-97.279576,Food Processing Facility,C-1 Neighborhood Commercial,25746,2563782.12,Completed,Yes,Pending,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025268,2025-08-12,2025-11-28,Oklahoma City,OK,Oklahoma,40109,35.814869,-95.972054,Warehouse/Distribution,I-2 Heavy Industrial,69101,20186753.75,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025269,2025-04-23,2026-04-28,Tulsa,OK,Tulsa,40143,37.005239,-95.91312,Retail Complex,C-1 Neighborhood Commercial,84955,10356946.86,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025270,2026-01-03,2026-05-26,Wichita,KS,Sedgwick,20173,37.720369,-96.754101,Data Center,C-1 Neighborhood Commercial,69590,19006177.71,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025271,2025-02-15,2025-07-16,Wichita,KS,Sedgwick,20173,35.539496,-96.912002,Warehouse/Distribution,I-1 Light Industrial,15105,4572121.35,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025272,2026-02-10,2026-07-07,Wichita,KS,Sedgwick,20173,37.671573,-96.830139,Medical Facility,C-2 General Commercial,53817,7510519.03,Issued,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025273,2026-06-11,2026-12-31,Wichita,KS,Sedgwick,20173,37.464946,-97.39486,Medical Facility,I-2 Heavy Industrial,23097,6900171.05,Issued,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025274,2025-04-16,2026-03-24,Broken Arrow,OK,Tulsa,40143,36.266737,-96.41973,Medical Facility,C-2 General Commercial,7499,2011749.93,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025275,2025-12-30,2026-02-09,Wichita,KS,Sedgwick,20173,35.344365,-96.904258,Warehouse/Distribution,C-1 Neighborhood Commercial,16957,1591849.4,Issued,Yes,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025276,2026-03-26,2026-11-07,Oklahoma City,OK,Oklahoma,40109,36.628041,-96.974369,Retail Complex,PUD Planned Unit Development,75512,18837993.62,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025277,2025-07-19,2025-08-19,Tulsa,OK,Tulsa,40143,36.681365,-95.837723,Industrial Build-Out,I-2 Heavy Industrial,31548,3517191.76,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025278,2026-03-07,2026-09-06,Norman,OK,Cleveland,40027,35.619498,-95.860571,Retail Complex,I-2 Heavy Industrial,6778,1406328.86,Issued,Yes,Pending,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025279,2025-11-28,2026-06-03,Tulsa,OK,Tulsa,40143,35.901314,-97.507337,Medical Facility,I-1 Light Industrial,20127,5528712.69,Under Review,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025280,2025-01-09,2025-09-17,Oklahoma City,OK,Oklahoma,40109,35.350638,-95.955476,Medical Facility,C-1 Neighborhood Commercial,70586,20405135.27,Issued,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025281,2025-09-05,2026-02-05,Oklahoma City,OK,Oklahoma,40109,37.034283,-96.223912,Office Park,C-2 General Commercial,70996,10811372.38,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025282,2026-02-07,2026-05-16,Wichita,KS,Sedgwick,20173,37.656728,-97.233533,Mixed-Use Development,C-1 Neighborhood Commercial,60523,12867591.23,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025283,2026-05-18,2026-07-09,Norman,OK,Cleveland,40027,36.947252,-97.799704,New Commercial Construction,C-2 General Commercial,78311,16958167.51,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025284,2026-05-22,2027-09-13,Tulsa,OK,Tulsa,40143,35.957401,-96.016638,Mixed-Use Development,C-2 General Commercial,58625,12516388.97,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025285,2025-07-08,2026-05-17,Wichita,KS,Sedgwick,20173,37.060209,-97.234441,Data Center,I-2 Heavy Industrial,82509,8697252.89,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025286,2025-09-29,2026-09-13,Tulsa,OK,Tulsa,40143,36.67017,-97.4855,Industrial Build-Out,PUD Planned Unit Development,28650,3614625.26,Completed,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025287,2026-02-28,2027-04-07,Wichita,KS,Sedgwick,20173,35.880265,-96.521862,Warehouse/Distribution,C-1 Neighborhood Commercial,39944,9769222.7,Completed,Yes,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025288,2026-03-21,2027-04-01,Norman,OK,Cleveland,40027,37.638214,-96.437877,Medical Facility,C-2 General Commercial,23413,2043820.16,Issued,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025289,2025-01-07,2026-02-03,Oklahoma City,OK,Oklahoma,40109,35.511711,-96.937935,New Commercial Construction,PUD Planned Unit Development,5836,1261902.57,Under Review,Yes,Pending,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025290,2025-06-25,2025-12-18,Norman,OK,Cleveland,40027,36.302777,-97.056954,Office Park,I-1 Light Industrial,68321,5933303.45,Under Review,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025291,2025-03-23,2025-12-17,Oklahoma City,OK,Oklahoma,40109,35.569192,-96.087594,Warehouse/Distribution,M-1 Medical District,63920,17473667.7,Issued,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025292,2026-03-24,2027-01-01,Norman,OK,Cleveland,40027,37.281934,-96.205301,Warehouse/Distribution,I-2 Heavy Industrial,11691,3414586.33,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025293,2025-11-10,2026-11-04,Oklahoma City,OK,Oklahoma,40109,35.635457,-96.944657,New Commercial Construction,PUD Planned Unit Development,72770,9967552.4,Issued,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025294,2025-08-23,2026-02-12,Broken Arrow,OK,Tulsa,40143,36.434034,-97.615257,Medical Facility,C-2 General Commercial,26206,3428882.21,Issued,Pending,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025295,2026-06-02,2027-01-26,Oklahoma City,OK,Oklahoma,40109,37.254542,-97.233842,Mixed-Use Development,C-1 Neighborhood Commercial,43257,7642731.45,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025296,2026-03-14,2027-04-10,Tulsa,OK,Tulsa,40143,37.750403,-96.892117,Commercial Renovation,I-1 Light Industrial,22358,4227251.46,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025297,2025-06-04,2025-12-01,Norman,OK,Cleveland,40027,37.135702,-97.642284,Commercial Renovation,I-1 Light Industrial,12076,1426806.79,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025298,2025-11-26,2026-10-09,Oklahoma City,OK,Oklahoma,40109,37.748198,-95.962462,Office Park,PUD Planned Unit Development,28656,4687061.67,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025299,2025-11-09,2026-03-05,Tulsa,OK,Tulsa,40143,36.907466,-95.894778,Mixed-Use Development,C-2 General Commercial,79152,16194701.91,Under Review,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025300,2025-10-17,2026-06-01,Norman,OK,Cleveland,40027,37.036242,-97.436627,Food Processing Facility,C-1 Neighborhood Commercial,24371,4350685.26,Issued,Yes,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025301,2025-06-12,2026-10-10,Norman,OK,Cleveland,40027,37.64887,-96.068485,Mixed-Use Development,PUD Planned Unit Development,40387,11961329.47,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025302,2026-04-08,2027-09-18,Norman,OK,Cleveland,40027,37.166167,-97.453551,Medical Facility,M-1 Medical District,34873,6089851.96,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025303,2025-04-27,2026-05-25,Norman,OK,Cleveland,40027,35.753555,-96.519035,New Commercial Construction,C-1 Neighborhood Commercial,36357,3946762.96,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025304,2026-02-05,2026-03-19,Broken Arrow,OK,Tulsa,40143,36.273238,-97.006171,Medical Facility,C-2 General Commercial,23741,4057293.03,Under Review,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025305,2025-06-17,2025-10-19,Broken Arrow,OK,Tulsa,40143,35.810912,-96.812737,Medical Facility,C-2 General Commercial,60655,16378845.84,Under Review,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025306,2025-04-16,2026-03-19,Wichita,KS,Sedgwick,20173,37.467957,-97.442434,Food Processing Facility,M-1 Medical District,20741,5323211.71,Under Review,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025307,2025-07-12,2026-04-05,Broken Arrow,OK,Tulsa,40143,36.720891,-97.307154,Medical Facility,C-2 General Commercial,18967,5191469.16,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025308,2025-10-31,2026-09-07,Wichita,KS,Sedgwick,20173,35.680753,-96.318332,Warehouse/Distribution,PUD Planned Unit Development,50255,5770639.16,Completed,Yes,Pending,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025309,2025-04-18,2026-05-11,Tulsa,OK,Tulsa,40143,36.58374,-96.94077,Warehouse/Distribution,M-1 Medical District,16666,4436401.39,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025310,2026-02-10,2026-10-24,Norman,OK,Cleveland,40027,37.017776,-97.149194,Medical Facility,C-1 Neighborhood Commercial,3659,336019.08,Under Review,Yes,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025311,2025-07-08,2026-11-24,Norman,OK,Cleveland,40027,36.620928,-97.460496,Industrial Build-Out,C-1 Neighborhood Commercial,25781,6597566.32,Issued,Pending,Pending,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025312,2026-04-09,2026-11-28,Tulsa,OK,Tulsa,40143,36.617192,-97.389962,Medical Facility,M-1 Medical District,48480,11993740.62,Under Review,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025313,2025-08-11,2026-03-01,Tulsa,OK,Tulsa,40143,35.792413,-97.26082,Office Park,I-1 Light Industrial,65385,6076548.83,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025314,2026-01-25,2026-12-24,Norman,OK,Cleveland,40027,36.878061,-97.030274,Retail Complex,PUD Planned Unit Development,61029,14216203.68,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025315,2026-02-02,2027-02-28,Tulsa,OK,Tulsa,40143,35.434917,-96.738475,Data Center,C-1 Neighborhood Commercial,77145,10445701.0,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025316,2025-10-13,2026-08-21,Norman,OK,Cleveland,40027,36.648885,-97.358001,New Commercial Construction,C-1 Neighborhood Commercial,41844,7815295.68,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025317,2025-03-12,2026-03-29,Broken Arrow,OK,Tulsa,40143,36.476078,-97.691124,Commercial Renovation,M-1 Medical District,42676,8750499.29,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025318,2025-04-07,2025-06-27,Norman,OK,Cleveland,40027,35.520349,-96.614091,Mixed-Use Development,C-1 Neighborhood Commercial,16731,4494212.41,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025319,2026-01-02,2026-02-10,Wichita,KS,Sedgwick,20173,35.585357,-96.411939,Industrial Build-Out,C-2 General Commercial,23655,4527138.42,Issued,Yes,Pending,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025320,2025-07-14,2025-09-17,Wichita,KS,Sedgwick,20173,35.518981,-97.22658,Office Park,C-1 Neighborhood Commercial,62963,14403519.64,Completed,Yes,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025321,2026-05-22,2027-04-21,Broken Arrow,OK,Tulsa,40143,35.411167,-97.237116,Industrial Build-Out,C-2 General Commercial,82638,19859008.62,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025322,2025-12-31,2026-04-26,Norman,OK,Cleveland,40027,36.242888,-96.278944,New Commercial Construction,I-1 Light Industrial,42284,5191594.87,Issued,Yes,Pending,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025323,2026-02-28,2026-10-27,Wichita,KS,Sedgwick,20173,36.660066,-96.503113,Warehouse/Distribution,I-1 Light Industrial,81362,19466415.02,Under Review,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025324,2025-11-26,2026-01-10,Oklahoma City,OK,Oklahoma,40109,35.384331,-97.525723,Data Center,I-2 Heavy Industrial,78330,20586604.15,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025325,2025-02-02,2025-04-27,Tulsa,OK,Tulsa,40143,35.656885,-97.574171,Medical Facility,I-1 Light Industrial,18523,5349282.99,Issued,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025326,2025-01-12,2026-04-04,Wichita,KS,Sedgwick,20173,36.653227,-97.387967,New Commercial Construction,M-1 Medical District,56205,15931587.89,Completed,Yes,Pending,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025327,2025-04-17,2026-08-14,Oklahoma City,OK,Oklahoma,40109,36.779713,-96.06768,Data Center,I-1 Light Industrial,11448,1456281.16,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025328,2026-04-01,2027-04-17,Tulsa,OK,Tulsa,40143,37.06792,-96.841811,Retail Complex,C-2 General Commercial,6540,2044667.36,Completed,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025329,2025-05-12,2026-09-25,Oklahoma City,OK,Oklahoma,40109,35.611186,-96.580705,New Commercial Construction,I-2 Heavy Industrial,29616,2733292.67,Issued,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025330,2025-04-23,2025-09-09,Broken Arrow,OK,Tulsa,40143,35.870811,-97.538381,Industrial Build-Out,I-1 Light Industrial,77207,17347864.04,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025331,2026-04-26,2026-11-01,Broken Arrow,OK,Tulsa,40143,35.561051,-96.793291,Retail Complex,PUD Planned Unit Development,20207,5348356.56,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025332,2025-08-20,2025-10-04,Norman,OK,Cleveland,40027,37.18118,-96.569188,Food Processing Facility,I-2 Heavy Industrial,71698,11393152.95,Completed,Yes,Pending,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025333,2025-08-27,2025-11-07,Wichita,KS,Sedgwick,20173,36.481129,-96.05916,Medical Facility,M-1 Medical District,24790,5351347.45,Issued,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025334,2026-02-17,2027-02-07,Wichita,KS,Sedgwick,20173,36.200647,-96.28092,Commercial Renovation,I-2 Heavy Industrial,57068,15469739.61,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025335,2026-02-27,2027-01-27,Wichita,KS,Sedgwick,20173,35.321099,-97.620614,Commercial Renovation,I-1 Light Industrial,7533,1561362.49,Issued,Pending,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025336,2026-04-09,2027-07-19,Norman,OK,Cleveland,40027,37.140131,-97.109567,Commercial Renovation,I-1 Light Industrial,35673,6430304.55,Under Review,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025337,2025-09-16,2026-03-26,Tulsa,OK,Tulsa,40143,37.350171,-96.259744,Retail Complex,I-1 Light Industrial,15485,2116579.93,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025338,2025-07-29,2026-01-27,Oklahoma City,OK,Oklahoma,40109,37.464219,-96.140292,Data Center,I-2 Heavy Industrial,81028,25383616.69,Issued,Pending,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025339,2026-03-31,2026-07-13,Oklahoma City,OK,Oklahoma,40109,35.418696,-96.72397,Office Park,C-2 General Commercial,33113,9935527.36,Issued,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025340,2026-01-09,2026-07-27,Tulsa,OK,Tulsa,40143,36.727636,-95.888145,Food Processing Facility,C-2 General Commercial,25427,5327903.79,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025341,2025-02-16,2025-06-26,Norman,OK,Cleveland,40027,37.713951,-97.414462,Commercial Renovation,C-1 Neighborhood Commercial,50779,9528386.7,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025342,2025-04-17,2026-08-13,Norman,OK,Cleveland,40027,36.699956,-97.12488,Office Park,I-1 Light Industrial,16275,2347803.76,Under Review,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025343,2026-02-28,2027-01-18,Broken Arrow,OK,Tulsa,40143,36.566853,-95.887764,Data Center,M-1 Medical District,59888,16025491.08,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025344,2026-01-22,2026-07-03,Oklahoma City,OK,Oklahoma,40109,36.215859,-96.5198,New Commercial Construction,C-2 General Commercial,13520,1210102.83,Under Review,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025345,2026-01-02,2027-06-18,Broken Arrow,OK,Tulsa,40143,36.333078,-96.630188,Retail Complex,C-1 Neighborhood Commercial,15595,3915267.98,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025346,2025-02-26,2026-07-10,Oklahoma City,OK,Oklahoma,40109,36.490678,-96.620191,Warehouse/Distribution,C-2 General Commercial,4194,1100501.8,Completed,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025347,2026-05-29,2027-11-08,Oklahoma City,OK,Oklahoma,40109,37.078553,-96.785708,New Commercial Construction,PUD Planned Unit Development,65260,13057342.18,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
